MonthYear,Region,Organization,Type 1,Type 2,Type 3,Total Attendances,Type 1 < 4h,Type 2 < 4h,Type 3 < 4h,Total Attendances < 4h,Type 1 > 4h,Type 2 > 4h,Type 3 > 4h,Total Attendances > 4 hours,Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,>4h decision to admit,>12h decision to admit,Year,CovidPeriod,Within_4h_%,Over_4h_%,Type1_Over4h_%,Type1_Under4h_%
2015-06-01,Midlands England,Norfolk And Norwich University Hospitals NHS Foundation Trust,9139.0,0.0,986.0,10125.0,8155.0,0.0,986.0,9141.0,984.0,0.0,0.0,984.0,2786.0,0.0,0.0,2786.0,1947.0,4733.0,58.0,0.0,2015,Pre-COVID,90.28148148148148,9.718518518518518,10.767042345989715,89.23295765401028
2015-06-01,Midlands England,Mid Essex Hospital Services NHS Trust,7572.0,0.0,0.0,7572.0,6873.0,0.0,0.0,6873.0,699.0,0.0,0.0,699.0,1929.0,0.0,0.0,1929.0,626.0,2555.0,173.0,1.0,2015,Pre-COVID,90.76862123613311,9.231378763866879,9.231378763866879,90.76862123613311
2015-06-01,Midlands England,James Paget University Hospitals NHS Foundation Trust,6067.0,0.0,0.0,6067.0,5768.0,0.0,0.0,5768.0,299.0,0.0,0.0,299.0,961.0,0.0,0.0,961.0,347.0,1308.0,22.0,0.0,2015,Pre-COVID,95.07169935717818,4.928300642821823,4.928300642821823,95.07169935717818
2015-06-01,Midlands England,Ipswich Hospital NHS Trust,7107.0,0.0,0.0,7107.0,6800.0,0.0,0.0,6800.0,307.0,0.0,0.0,307.0,1801.0,0.0,0.0,1801.0,840.0,2641.0,14.0,0.0,2015,Pre-COVID,95.68031518221471,4.319684817785282,4.319684817785282,95.68031518221471
2015-06-01,Midlands England,Hinchingbrooke Health Care NHS Trust,3826.0,0.0,0.0,3826.0,3644.0,0.0,0.0,3644.0,182.0,0.0,0.0,182.0,891.0,0.0,0.0,891.0,164.0,1055.0,47.0,0.0,2015,Pre-COVID,95.2430737062206,4.7569262937794035,4.7569262937794035,95.2430737062206
2015-06-01,Midlands England,Greyfriars Health Centre,0.0,0.0,1034.0,1034.0,0.0,0.0,1034.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Fryatt Hospital,0.0,0.0,526.0,526.0,0.0,0.0,526.0,526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,East Coast Community Healthcare C.I.C,0.0,0.0,646.0,646.0,0.0,0.0,646.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Colchester Hospital University NHS Foundation Trust,6862.0,0.0,0.0,6862.0,5875.0,0.0,0.0,5875.0,987.0,0.0,0.0,987.0,2209.0,0.0,0.0,2209.0,1120.0,3329.0,130.0,0.0,2015,Pre-COVID,85.61643835616438,14.383561643835616,14.383561643835616,85.61643835616438
2015-06-01,Midlands England,Clacton Hospital,0.0,0.0,2238.0,2238.0,0.0,0.0,2238.0,2238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Sherwood Forest Hospitals NHS Foundation Trust,8447.0,0.0,3789.0,12236.0,7772.0,0.0,3760.0,11532.0,675.0,0.0,29.0,704.0,2391.0,0.0,9.0,2400.0,367.0,2767.0,93.0,0.0,2015,Pre-COVID,94.24648577966656,5.753514220333442,7.991002722860187,92.00899727713981
2015-06-01,Midlands England,Shrewsbury And Telford Hospital NHS Trust,10438.0,0.0,703.0,11141.0,9121.0,0.0,703.0,9824.0,1317.0,0.0,0.0,1317.0,2025.0,0.0,0.0,2025.0,1973.0,3998.0,225.0,0.0,2015,Pre-COVID,88.17879903060766,11.821200969392335,12.61735964744204,87.38264035255796
2015-06-01,Midlands England,Shropshire Community Health NHS Trust,0.0,439.0,2294.0,2733.0,0.0,439.0,2294.0,2733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Staffordshire Doctors Urgent Care Ltd [Sduc],0.0,0.0,589.0,589.0,0.0,0.0,589.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,North-East England,5 Boroughs Partnership NHS Foundation Trust,0.0,0.0,3785.0,3785.0,0.0,0.0,3785.0,3785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Wye Valley NHS Trust,4527.0,0.0,3250.0,7777.0,3808.0,0.0,3250.0,7058.0,719.0,0.0,0.0,719.0,913.0,0.0,0.0,913.0,333.0,1246.0,147.0,0.0,2015,Pre-COVID,90.75478976469076,9.245210235309246,15.882482880494809,84.1175171195052
2015-06-01,Midlands England,Worcestershire Health And Care NHS Trust,0.0,570.0,0.0,570.0,0.0,570.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Worcestershire Acute Hospitals NHS Trust,9977.0,0.0,5657.0,15634.0,8138.0,0.0,5653.0,13791.0,1839.0,0.0,4.0,1843.0,2597.0,0.0,0.0,2597.0,1079.0,3676.0,905.0,0.0,2015,Pre-COVID,88.21159012408853,11.788409875911475,18.432394507366944,81.56760549263305
2015-06-01,Midlands England,Walsall Walk In Health Centre,0.0,0.0,4222.0,4222.0,0.0,0.0,4222.0,4222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Walsall Healthcare NHS Trust,6481.0,0.0,3842.0,10323.0,5944.0,0.0,3842.0,9786.0,537.0,0.0,0.0,537.0,1666.0,0.0,0.0,1666.0,694.0,2360.0,109.0,0.0,2015,Pre-COVID,94.79802383028189,5.2019761697181055,8.285758370621817,91.71424162937818
2015-06-01,Midlands England,University Hospitals Coventry And Warwickshire NHS Trust,11035.0,1857.0,2402.0,15294.0,9245.0,1847.0,2396.0,13488.0,1790.0,10.0,6.0,1806.0,3154.0,78.0,2.0,3234.0,802.0,4036.0,419.0,0.0,2015,Pre-COVID,88.1914476265202,11.808552373479795,16.22111463525147,83.77888536474852
2015-06-01,Midlands England,University Hospitals Birmingham NHS Foundation Trust,8823.0,0.0,0.0,8823.0,8450.0,0.0,0.0,8450.0,373.0,0.0,0.0,373.0,2471.0,0.0,0.0,2471.0,1140.0,3611.0,31.0,0.0,2015,Pre-COVID,95.77241301144736,4.2275869885526465,4.2275869885526465,95.77241301144736
2015-06-01,Midlands England,The Royal Wolverhampton NHS Trust,10337.0,0.0,4063.0,14400.0,9376.0,0.0,4063.0,13439.0,961.0,0.0,0.0,961.0,2138.0,0.0,0.0,2138.0,1507.0,3645.0,295.0,1.0,2015,Pre-COVID,93.32638888888889,6.673611111111111,9.296701170552385,90.70329882944762
2015-06-01,Midlands England,The Dudley Group NHS Foundation Trust,8147.0,0.0,5292.0,13439.0,8076.0,0.0,5292.0,13368.0,71.0,0.0,0.0,71.0,2452.0,0.0,0.0,2452.0,1071.0,3523.0,13.0,0.0,2015,Pre-COVID,99.4716868814644,0.5283131185356054,0.8714864367251749,99.12851356327482
2015-06-01,Midlands England,Summerfield GP Surg & Urgent Care Centre,0.0,0.0,4238.0,4238.0,0.0,0.0,4238.0,4238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,South Warwickshire NHS Foundation Trust,5144.0,0.0,681.0,5825.0,4927.0,0.0,681.0,5608.0,217.0,0.0,0.0,217.0,1374.0,0.0,0.0,1374.0,271.0,1645.0,12.0,0.0,2015,Pre-COVID,96.27467811158799,3.725321888412017,4.2185069984447905,95.7814930015552
2015-06-01,Midlands England,South Birmingham GP Walk In Centre,0.0,0.0,4227.0,4227.0,0.0,0.0,4227.0,4227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Cambridgeshire And Peterborough NHS Foundation Trust,0.0,0.0,768.0,768.0,0.0,0.0,768.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Solihull Healthcare & Walk-In-Centre,0.0,0.0,3562.0,3562.0,0.0,0.0,3562.0,3562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,Midlands England,Sandwell And West Birmingham Hospitals NHS Trust,14088.0,2209.0,2682.0,18979.0,13063.0,2197.0,2682.0,17942.0,1025.0,12.0,0.0,1037.0,3317.0,16.0,0.0,3333.0,992.0,4325.0,5.0,0.0,2015,Pre-COVID,94.53606617840772,5.463933821592287,7.275695627484384,92.72430437251562
2015-06-01,Midlands England,Heart Of England NHS Foundation Trust,18011.0,0.0,3754.0,21765.0,16031.0,0.0,3672.0,19703.0,1980.0,0.0,82.0,2062.0,5312.0,0.0,1167.0,6479.0,1679.0,8158.0,479.0,1.0,2015,Pre-COVID,90.52607397197335,9.473926028026648,10.993281883293543,89.00671811670647
2015-06-01,Midlands England,Greet General Practice & Urgent Care Centre,0.0,0.0,2239.0,2239.0,0.0,0.0,2239.0,2239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
